Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
NQU24,"08/27/2024 17:30",19828,19837.25,19816.5,19831,2.25,+0.01%,1453,N/A
NQU24,"08/27/2024 17:00",19870.5,19880,19810.5,19828.75,-42.25,-0.21%,4433,N/A
NQU24,"08/27/2024 15:30",19879.75,19880.75,19860.75,19871,-9.,-0.05%,2612,N/A
NQU24,"08/27/2024 15:00",19886.5,19896.5,19878.75,19880,-6.25,-0.03%,6742,N/A
NQU24,"08/27/2024 14:30",19883.5,19903.75,19866,19886.25,2.75,+0.01%,25885,N/A
NQU24,"08/27/2024 14:00",19891,19894.25,19866.25,19883.5,-7.,-0.04%,14516,N/A
NQU24,"08/27/2024 13:30",19897,19903.75,19874.5,19890.5,-6.75,-0.03%,13646,N/A
NQU24,"08/27/2024 13:00",19921.5,19927.75,19884.75,19897.25,-24.,-0.12%,14591,N/A
NQU24,"08/27/2024 12:30",19905.5,19925.5,19874.75,19921.25,16.25,+0.08%,20026,N/A
NQU24,"08/27/2024 12:00",19860,19910.5,19853,19905,44.75,+0.23%,17363,N/A
NQU24,"08/27/2024 11:30",19857.5,19883,19818.25,19860.25,2.75,+0.01%,23494,N/A
NQU24,"08/27/2024 11:00",19845.25,19875.75,19836.5,19857.5,11.75,+0.06%,16443,N/A
NQU24,"08/27/2024 10:30",19858.5,19865.75,19812.75,19845.75,-13.25,-0.07%,28650,N/A
NQU24,"08/27/2024 10:00",19904.5,19929.25,19859,19859,-45.25,-0.23%,30185,N/A
NQU24,"08/27/2024 09:30",19865.5,19908.5,19858,19904.25,39.75,+0.20%,35709,N/A
NQU24,"08/27/2024 09:00",19777.75,19869,19765.5,19864.5,89,+0.45%,41073,N/A
NQU24,"08/27/2024 08:30",19758.5,19805.75,19676.5,19775.5,16.5,+0.08%,58880,N/A
NQU24,"08/27/2024 08:00",19748,19765.75,19711,19759,10.75,+0.05%,16006,N/A
NQU24,"08/27/2024 07:30",19800.5,19802.25,19737.5,19748.25,-53.,-0.27%,8879,N/A
NQU24,"08/27/2024 07:00",19831.5,19831.5,19779.75,19801.25,-29.25,-0.15%,5033,N/A
NQU24,"08/27/2024 06:30",19828.25,19849.5,19825.75,19830.5,2.5,+0.01%,3835,N/A
NQU24,"08/27/2024 06:00",19811.5,19830,19789,19828,16.25,+0.08%,3395,N/A
NQU24,"08/27/2024 05:30",19820.75,19834.25,19793,19811.75,-9.5,-0.05%,3874,N/A
NQU24,"08/27/2024 05:00",19866.75,19871.25,19813,19821.25,-45.75,-0.23%,3712,N/A
NQU24,"08/27/2024 04:30",19873,19875.25,19858.25,19867,-5.75,-0.03%,1634,N/A
NQU24,"08/27/2024 04:00",19853.25,19882,19851.5,19872.75,18.75,+0.09%,2031,N/A
NQU24,"08/27/2024 03:30",19871,19879.25,19851,19854,-16.75,-0.08%,2464,N/A
NQU24,"08/27/2024 03:00",19850.5,19881.5,19845.75,19870.75,20.5,+0.10%,3792,N/A
NQU24,"08/27/2024 02:30",19835,19851.25,19831,19850.25,14.5,+0.07%,1410,N/A
NQU24,"08/27/2024 02:00",19843.25,19854.25,19819.25,19835.75,-7.,-0.04%,2710,N/A
NQU24,"08/27/2024 01:30",19833.75,19852,19832.5,19842.75,8.25,+0.04%,1048,N/A
NQU24,"08/27/2024 01:00",19852.5,19853.25,19831,19834.5,-18.75,-0.09%,1705,N/A
NQU24,"08/27/2024 00:30",19845.75,19857,19840,19853.25,8.5,+0.04%,1051,N/A
NQU24,"08/27/2024 00:00",19840.25,19853,19839.5,19844.75,5.25,+0.03%,931,N/A
NQU24,"08/26/2024 23:30",19833.25,19843.5,19829.75,19839.5,6.25,+0.03%,755,N/A
NQU24,"08/26/2024 23:00",19831.25,19836.5,19818.25,19833.25,3,+0.02%,907,N/A
NQU24,"08/26/2024 22:30",19828.25,19837.75,19821.75,19830.25,3.25,+0.02%,829,N/A
NQU24,"08/26/2024 22:00",19829.5,19839.75,19823.75,19827,-2.5,-0.01%,1010,N/A
NQU24,"08/26/2024 21:30",19814.75,19839.75,19814.75,19829.5,15.5,+0.08%,1510,N/A
NQU24,"08/26/2024 21:00",19804.5,19818.5,19800.25,19814,8.5,+0.04%,1056,N/A
NQU24,"08/26/2024 20:30",19806,19808.25,19778.25,19805.5,-1.75,-0.01%,1795,N/A
NQU24,"08/26/2024 20:00",19792.25,19811,19786,19807.25,15.25,+0.08%,1292,N/A
NQU24,"08/26/2024 19:30",19817.5,19828,19784,19792,-25.25,-0.13%,2235,N/A
NQU24,"08/26/2024 19:00",19805.75,19825.5,19796.75,19817.25,11.5,+0.06%,2039,N/A
NQU24,"08/26/2024 18:30",19808.25,19813.75,19802,19805.75,-2.,-0.01%,1022,N/A
NQU24,"08/26/2024 18:00",19772,19812.25,19767.25,19807.75,35.75,+0.18%,2118,N/A
NQU24,"08/26/2024 17:30",19775,19777.25,19756.5,19772,-2.25,-0.01%,1352,N/A
NQU24,"08/26/2024 17:00",19793.75,19809,19768.75,19774.25,-9.75,-0.05%,1890,N/A
NQU24,"08/26/2024 15:30",19806,19807,19783.5,19784,-22.5,-0.11%,4556,N/A
NQU24,"08/26/2024 15:00",19828.5,19832.5,19800.75,19806.5,-22.,-0.11%,9183,N/A
